Term,key_class,values
secondary host strain,strain,c57bl/6
strain (of recipient mice),strain,c57bl/6
strain backgroud,strain,c57bl/6
strain gender,strain,c57bl/6
strain recipient,strain,c57bl/6
mice strain,strain,"c57bl/6 cd45+/- (ptprc+/-), c57bl/6"
strain of the clone,strain,"c57bl/6-cd45.1, c57bl/6-gfp"
background mouse strain,strain,"c57bl/6, c57bl/6j, 129svjae/c57bl/6, mix of c57bl/6, 129/ola and cba/j, c57b16"
strain background,strain,"c57bl/6, c57bl/6j, by4741, balb/c, offspring of cross between c57bl6/j (male) and cba/ca (female)"
strain/background,strain,"c57bl/6, c57bl/6j, diversity outcross x pymt, molf/ei x pymt, 129"
background strain,strain,"c57bl/6, c57bl/6j, wistar hanover (crlwi[gl/brl/han]igs br), balb/c, c3h/hej"
strain,strain,"c57bl/6, sprague dawley, cd-igs, c57bl/6j, c57bl/j6 and c3h/hej on apoe null age24 weeks genderfemale, c57bl/j6 and c3h/hej on apoe null age24 weeks gendermale"
host/mouse strain,strain,c57bl/6j
strain/cell-line,strain,c57bl/6j
host strain,strain,"c57bl/6j, a/j, female cd1 nude mouse, nod/scid, cd1"
mouse strain,strain,"c57bl/6j, c57bl/6, cd1, c57/bl6, balb/c"
jackson lab. strain,strain,c57bl/6j. gendermale. stock number000664
host strain background,strain,"cb17/icr-prkdcscid/icrcrl (sever combined immunodeficiency micescid mice), ncr nude mice, balb/c nu/nu"
strain source,strain,"charles river laboratories, wistar, harvard medical school, p53, iberian pork plant"
animal/plant strain or line,strain,"charleston harbor, indian river lagoon, fl"
basal strain,strain,col
strain/ecotype,strain,"col-0, colombia, shakdara (sha), bay-0, bur-0"
plant strain,strain,"columbia-0 pen2-1 pad4-1 sag101-2 mutant expressing mla1-ha, columbia-0 pen2-1 pad4-1 sag101-2 mutant"
insect strain,strain,corn strain
p. syringae pv tomato strain,strain,"dc3000 carrying avrrpm1, dc3000 wildtype, dc3000 hrpa mutant"
progeny strain,strain,"dicer fl/+ lyszcre+/- (wild type), dicer fl/fl lyszcre+/- (dicer-deficient)"
b virus strain,strain,e2490
evolved strain,strain,"evolved mutator derived after 6700 generations, evolved non-mutator yeast after 6700 generations"
paternal strain,strain,"f1, b6, canton-s, c57bl6/j (b6), castaneus (cast)"
strain/line,strain,"f8 ril from the cross between `chinese long` inbred line 9930 and north american pickling gy14, f7 ril from the cross between `chinese long` inbred line 9930 and north american, pickling gy14, cal 27 cells,nm23-h1 transfected, cal 27 cells, empty vector transfected cells, n2"
strain fgsc number,strain,"fgsc 2489, fgsc 11066"
strain number,strain,"fmf248, klp694, fmf1 (fgsc9075), fgsc2489, spy 1491"
cmv strain,strain,fny
strain/isolate,strain,fully-sequenced human fecal isolate of b.theta (vpi-5482)
parasite strain,strain,"fv1, 1s, n/a, rh 1-1, uninfected"
back ground strain,strain,"fvb c57bl/6 crosses, swiss"
strain origin,strain,"gmr-gal4 x bloomington4776, bloomington25174, bloomington48881 x bloomington4776, pbre c4 isolated from skin biopsy of erythema migrans, 1408 c1 isolated from skin biopsy of acrodermatitis chronica atrophians"
eri-1 mutant strain,strain,gr1373 (mg366). whole c.elegans
toxplasma gondii strain,strain,"gt1, ctg, none, ptg"
strain genotype,strain,"h minus (cnp1-flag:kanr), h minus (leu1 ade6 cnp20+-flag[kanr]), h minus (lys:cnp1halys+), by4743, h minus (scm3-19-ha[kanr] lys1+cnp1-gfp)"
strain 1783,strain,h- leu1-32 ura4-d18 ade6-210 ssl3:ura4+ ars1-ssl3-29ts-leu2 rad21-3ha-kanr
strain 1785,strain,h- leu1-32 ura4-d18 ade6-210 ssl3:ura4+ ars1-ssl3+-leu2 rad21-3ha-kanr
m. tuberculosis strain,strain,"h37rv, r17.1, chn50.2, r19.5, mad2.2"
control strain o157,strain,h7 edl933
strain details,strain,"hg.cast-(d11mit260-d11mit255), hg.cast-(d2mit329-d2mit457), hg.cast-(d17mit196-d17mit190)"
hcmel3 strain,strain,hgfxcdk4r24c_c57bl6
strain/genotyp,strain,"hpl-2(tm1489), n2 (wt)"
host mouse strain,strain,"hsdathymic nude-foxn1nu (athymic nude mice), c57bl/6j"
parent strain,strain,"ja122, jir8094"
strain info,strain,"jax stock #000664, say995, say996, say841, ah13"
strain by4741-rco1,strain,kanmx (mata his3__1 leu2__0 met15__0 ura3__0 rco1:kanmx)
strain by4741-rpd3,strain,kanmx (mata his3__1 leu2__0 met15__0 ura3__0 rpd3:kanmx)
strain by4741-ume6,strain,kanmx (mata his3__1 leu2__0 met15__0 ura3__0 ume6:kanmx)
strain by4741-pho23,strain,kanmx (mata his3_1 leu2_0 met15_0 ura3_0 pho3:kanmx)
strain by4741-msn2,strain,"kanmx/msn4:ura3/rpd3:leu2 (mata his3__1 leu2__0 met15__0 ura3__0 msn2:kanmx msn4:ura3 rpd3:leu2), kanmx/msn4:ura3 (mata his3__1 leu2__0 met15__0 ura3__0 msn2:kanmx msn4:ura3)"
strain jam1,strain,knockout of s
strain tw14,strain,knockout of the brpa gene via insertion of a erythromycin cassette
strain tw1,strain,knockout of the ccpa homolog via insertion of a kanamycin cassette
bacterial strain used,strain,"l. plantarum 299v msa mutant, l. plantarum 299v wildtype, I. plantarum 299v srt mutant"
equivalent strain name,strain,"l2r (25667r), l2(434) bu, l2rp+"
strain[background],strain,line-m
background strain(s),strain,lxt1xbalb/c
strain c57bl/6 gender,strain,male age10 weeks tissuesubstantia nigra(sn) disected bilaterally from six like-treated mice.
strain c57bl/6 gender,strain,male age10 weeks tissuesubstantia nigra(sn) disected bilaterally from six like-treated mice
strain sr954,strain,mata/alpha ira1:his3/ira1:leu2 ura3___52/ura3___52 leu2:hisg/leu2:hisg his3:hisg/his3:hisg prs316___ira1ra
strain sr595,strain,mata/alpha ira1:his3/ira1:leu2 ura3-52/ura3-52 leu2:hisg/leu2:hisg his3:hisg/his3:hisg prs316
strain sr563,strain,mata/alpha ira2:his3/ira2:leu2 ura3-52/ura3-52 leu2:hisg/leu2:hisg his3:hisg/his3:hisg prs316
strain sr957,strain,mata/alpha ras1:his3/ras1:his3 ras2delta/ras2delta pde2:kanr/ pde2:kanr ura3-52/ura3-52 leu2:hisg/leu2:hisg his3:hisg/his3:hisg trp1+/trp1:hisg
strain sr959,strain,mata/alpha ras1:his3/ras1:his3 ras2delta/ras2delta pde2:kanr/ pde2:kanr ura3-52/ura3-52 leu2:hisg/leu2:hisg his3:hisg/his3:hisg trp1+/trp1:hisg prs315
strain sr453,strain,"mata/alpha ura3-52/ura3-52 prs316-ras2v19, mata/alpha ura3___52/ura3___52 prs316___ras2v19"
strain sr1187,strain,mata/alpha ura3-52/ura3-52 prs316
strain sr753,strain,mata/alpha ura3-52/ura3-52 prs316___ras2a22
strain/genotype variation,strain,"mc58, grb2405cml128 hcm1-3ha:natmx4 (hcm1ha), cml128mata ura3-52 his4 leu2-3,112 trp1 (wt), mjrc07grb2405 teto7-hcm1-3ha:kanmx4 (tethcm1ha)"
strain name,strain,"mixed, common referencemixture of by4716 and, rm11-1a rna from glucose and ethanol conditions, 1254, (wild_type), wt, wt (a11311)"
strain_description,strain,"mutant strain unable to discharge trichocysts. less background in deciliation experiments, stock 37c09, wild type, wild type mating type vii, wild type mating type viii"
strain (cy3),strain,n2
strain (cy5),strain,"n2, ss186"
toxoplasma parasite strain,strain,"na, type ii (pru a7) +rop16i, type ii (pru a7)"
reference strains,strain,nctc 11168 and rm1221
strain id,strain,"ncyc110, w303, yps1009, yps163, ncyc3290"
rrf-3 mutant strain,strain,nl2099 (pk1426). whole c.elegans
mouse model strain,strain,"nod balb/c, balb/c"
viral strain,strain,"none - mock, a/swine/alberta/25/2009, a/swine/iowa/15/1930, a/ca/04/2009"
strain type,strain,"nontypeable haemophilus influenzae (nthi), e, wild, type, mutant, enological strain"
cell strain,strain,"normal human astrocytes (nha), mc3t3, 20d17"
strain (mouse),strain,"nu/nu, c57bl/6"
virus strain,strain,"pandemic influenza (a/h1n1 new subtype), sars-cov (tor2), none, a/california/07/2009 (h1n1), towne/e"
parental strains,strain,pax7-creer
pythium strain,strain,pb912 132
strain(s),strain,"pbclop11, pbclop10, pbclop17, cf1, cf2, cf3, cf4, cfcz"
strain/cell line background,strain,pmid 17311920
infection (influenza strain),strain,"pr8, vn62, x31, mock, none"
b.bifidum strain,strain,prl2010
strain for c57bl/6,strain,rag-2-ko
immune strain/background,strain,"rag2, fvb"
strain jlrela,strain,rela kockout
pathogen strain,strain,"s. aureus usa300, tt01"
background strains,strain,"s96 and yjm 789, c57bl/6 female mouse and a sb/le male"
bacterial strain,strain,"sanger476, -, o18k1h7, usa300, imdo 130201"
strain/model,strain,scid beige mouse
recipient strain,strain,"scid, cb-17 scid/scid, c57bl6_h-2b, na, lethally irradiated syngeneic mice"
siv strain,strain,"sivsm, sivmac239, uninfected control (sivsm), uninfected control (sivmac239)"
strain/genotype,strain,"strain dp1, mtb1254 rv3662c-3665c ko, wt, pol1-3flag strain congenic to w303-1a in which the weak rad5 mutant allele in the original w303 has been corrected., __sml1, pol1-3flag strain congenic to w303-1a in which the weak rad5 mutant allele in the original w303 has been corrected., __mec1 __sml1, pol1-3flag strain congenic to w303-1a in which the weak rad5 mutant allele in the original w303 has been corrected."
bacteria strain,strain,streptcoccus suis 2 strain sc19
infected with bacterial strain,strain,streptcoccus suis 2 strain sc19
strain phenotype,strain,"thiamethoxam-resistant (th-r), thiamethoxam-susceptible (th-s), biofilm-negative, biofilm-positive, causing sheep abortion"
hcmv strain,strain,towne/e
human cytomegalovirus strain,strain,towne/e
strain of mouse,strain,"vm, cd1"
strain crl,strain,wi
strain/condition,strain,wild type + empty vector in xylose
donor strain,strain,"wild-type j1 strain sv/129 es cells, 129"
strain (rat),strain,wistar
rat strain,strain,"wistar, da (dark agouti) inbred"
autoimmune strain,strain,"yes, no"
fish strain,strain,"zebrafish tab strain, ab tubingen, abc"
1996). strain cd4ko (rrp6,strain,
ehec strain,strain,
fibroblast cell strain,strain,
strain (e. coli),strain,
strain (yeast),strain,
strain 877 = mata wpl-9pk,strain,
strain by4741 ptc3,strain,
strain by4741 ptc5,strain,
strain by4741 ptc51,strain,
strain with gal,strain,
strain y2197,strain,
strain y2460,strain,
strain y2468,strain,
strain y2699,strain,
strain y3071,strain,
strain y3272,strain,
strain y3351,strain,
strain y3403,strain,
strain y3586,strain,
strain y3650,strain,
strain y3724,strain,
test strain,strain,
vaccine strain,strain,
age (1#pfu_1),time,21
age (1#pvu_1),time,26
sampling age,time,38
gestational age at delivery,time,40
age (1#pfu_2),time,42
average age (days after birth),time,47
age at rc,time,51.33
cell line source age,time,56
age (at specimen collection),time,67.73
age_dx,time,68
sac age (wks),time,12/16/17
age of diagnosis (year),time,"""--"", 34, 57, 32, 35"
age at onset (years),time,"""-"", na, 47, 48, 78"
age of onset,time,"""=-n/a"", 20yr, -, 17 yr, 25 yr"
age at diagnosis (months),time,"<18m, 1, >18m, 6, 4"
age of trees,time,">30, 3, 9, 2, 1"
infant age,time,0 day
ageing at 29 c in days,time,"2000, 2, 14"
culture age (days),time,"0, 40, 20, 7, 42"
age (year),time,"0, 68, 55, 59, 54"
donor age (years),time,"0.35, 54, 50, 82, 92"
host age (yr),time,"0.50-0.66, 24, 26, 25, 55"
age in vitro,time,"0h, 24h, 48h, 72h"
age of the mice,time,1 month old
age at vaccination,time,"1 month, newborn"
age (bin),time,"1, 0, na"
age bin,time,"1, 0, na"
agebin,time,"1, 0, na"
age (postnatal days),time,"1, 14, 2007"
age (day),time,"1, 15, 5, 50, 30"
agegrp,time,"1, 2"
agestatus,time,"1, 2, na"
age and tissue,time,10 days-old seedlings.
age at start of experiment,time,"10 wks, 8 wks"
age (days old),time,"10, 52, 66, 68, 57"
age of ffpe block (years),time,"11, 10, 12, 13"
age of ffpe tissue,time,"11, 10, 12, 21, 19"
conidial age,time,12 days
age months,time,"12, 1.5, 6, 3, 20"
vitis (41528 population) - age,time,13 month
age (at the end of treatment),time,13 wks
estimated age,time,130 days gestation
age harvested (days),time,"14, 12, 16, 17, 24"
age of mice (wk),time,"14, 15, 12"
age at surgery,time,"14, 8, 6-8 weeks, 71, 65"
age in days at diagnosis,time,"1429, 6306, 6733"
age of sampling,time,15 years
mean age in days,time,"150, 141.5, 77.25"
fetus age,time,"16.1 weeks, 13.6 weeks, 13.9 weeks, 11 weeks, 9.6 weeks"
age (weeks of gestation),time,"17, 16, 19"
age/weight,time,170g
gestional age,time,"18 weeks, 17 weeks"
serum culture age,time,"180 days, 40 days, 60 days"
age post partum,time,"19 days + 24 hrs, 8 days, 3 days, 19 days, 13 days"
age at sacrifice,time,19 weeks old
mother's age (years),time,"19, 18, 20, 22, 26"
postnatal age,time,"2 months, 17 days, 20-38 years, 25 years, 31 years"
gender and age,time,2 year old caucasian female
plant age,time,"2-year old vine, 19 days, 28 days old, 20 days, 30 days"
age (in days post-partum),time,"20 dpp, 17 dpp"
age at harvest,time,20 weeks
proband age,time,"20-38 years, 25 years, 31 years, 22 years"
age_at_blooddraw,time,"20, 19, 18, 21, 22"
cell culture age,time,"21 days, week 27, week 53, week 4, week 8"
culture age,time,"21 days, week 27, week 53, week 4, week 8"
biofilm age,time,"21 hours, 30 hours, 34 hours, 24 hours"
age of epilepsy duration (yr),time,"21, 29"
hoechst- (viable) cells. age,time,22 days of age
age of plants,time,"23 months, 3 years"
age of mouse,time,"23 weeks, 35 days, na"
age (in years),time,"23, 26, 28, 21, 25"
age at collection months,time,"24, 13, 12, 49, 37"
donor age (y),time,"24, 28, 23, 30"
age (weeks),time,"26, 12, 6, 8/12/2017, 9"
age at examination,time,"26, 29, 46, 30, 28"
maternal age (year),time,"27, 22, 23, 24, 32"
age of gestation,time,"28 weeks, 25 weeks"
ageatdraw,time,"28, 27, 38, 29, 36"
age of the clone,time,"29 months, 24 months"
paternal age,time,"29, 32, n/a, 31, 26"
gestational age (w+d),time,"29+6, 29+2, 40+2"
age group (years),time,"3 (>15 yrs), 2 (5-14 yrs), 1 (0-4 yrs), n/a"
treatment age,time,3 days post-germination
age of rat,time,"3 months, 30 months"
mouse age,time,"3 weeks, p56, 2 days, xenograft cells injected at 6-10 weeks, 8 weeks"
age at biopsy,time,"3 years, 42, 52, 76, 7 years"
animal age,time,"30 days embryo, 2 yr, 8-12 weeks, 2-months"
age in years,time,"30, 25, 23, 43, 32"
current age (2007),time,"30, 40, 24, 29, 66"
maternal age (yrs),time,"32, 29, 28, 35, 33"
age at sacrifice (days),time,"35, 50"
gestational age (wk),time,"37, 38, 36, 34, 32"
gestational age,time,"37, 38, 39, 14wk, e16"
age at collection,time,"38 weeks, 53, 58, 65, 54"
age of woman [years],time,"38, 34, 35, 27, 32"
gestational age (wks),time,"39, 39, 38, 39.43, 39.71"
age at 1st diagnosis,time,"39, 44, 52, 47, 36"
diagnosis age,time,"39, 45, 47, 49, 54"
age time point,time,"4 hours, 12 hours, 2 hours, 28 hours after nutrient removal, 14h timepoint"
mouse model age,time,4 weeks
taqman pool by age,time,"4, 5, 2, 6, 3"
age of epilepsy onset (yr),time,"4, 7, 13, 14, 2"
age at infection,time,"4.6, 11.5, 8.1, 5 weeks, 9.5"
age at tumor,time,40 days
gestational age (weeks),time,"40, 39, 38, 41, 26"
age diagnosis,time,"405, 348, 188, 709, 231"
age at disease onset,time,"41, 35, 30, 37, 32"
average age,time,"41.42 _± 9.72, 43.17 _± 8.66, 64.7, 49, 29.7"
age (postnatal day),time,"42, 3, 10, pnd 0 (<24 hrs), 0"
donor's age,time,"43 years old, 53 years old, 56 years old, 16 years old, 6 years old"
age_tx,time,"43, 26, 41, 42, 55.2"
age at sample (months),time,"43, 67, 19, 22, 37"
agedx,time,"44, 34"
cell age,time,"44, 50, 31, 34"
age_years,time,"46, 51, 42, 47, 58"
age range,time,"48-92 years old, 18-25 yr old, pediatric patient"
patient age (yrs),time,"48, 46, 56, 53, 50"
age at blood sample collection,time,"48, 49, 55, 47, 46"
age-at-biopsy-years,time,"49, 39, 41"
subject age,time,"49, 9, na, 4, 52"
age of ipi (yr/mo),time,"4yr, 2yr, 13yr, 3yr"
age at sampling,time,"4yr, 6yr, 3yr, 8yr, 5yr"
mutant age,time,"5 week-old tissue48 hpi with pst dc3000(avrrpt2) leaves, 5 week-old tissueuninoculated leaves"
wild-type (col-0) age,time,"5 week-old tissueuninoculated leaves, 5 week-old tissue48 hpi with pst dc3000(avrrpt2) leaves"
in a diurnal environment. age,time,5 weeks old
age (month),time,"5, 10, 3, 17, 2"
age at diagonosis (years),time,"5.2, 5.6, 15.7, 5.3, 6.4"
median age,time,"51, 33, 42, 30"
age on study,time,"51, 33, 59, 38, 22"
age at surgery (yrs),time,"51, 75, 78, 39, 40"
donor age,time,"52, 40, 53, 23, adult"
recipient age,time,"52, 50, 48, 43, 30"
age at death,time,"52, 87 years, 44, 57, 61"
age of patient,time,"53, 45, 47 years, 34 years, 40 years"
age in 1986,time,"54, 17, 22, 15, 24"
age at 2nd diagnosis,time,"54, 57, 49, 44, 42"
age(yrs.),time,"54, 76, 55, 81, 39"
gallus gallus - age,time,"55 week dev. stage (boyes et al. plant cell 2001), 55weekdev.stage (boyes et al"
age at excision (years),time,"55, 52, 69, 56, 64"
age(years),time,"55, 56, 58, na, 61"
age of human sera,time,"56, 44, 54, 58, 63"
age at dx,time,"57, 49, 61, 54, 73"
age (at diagnosis),time,"58, 61, 65, 46, 50"
mean age,time,"58.5 years, 38.25yrs., 31.5 years old, 41.3, 29.68yrs"
ageatrecruitment,time,"59, 73, 63, 70, 58"
age at start of treatment,time,"6-8 d, 2 d"
age of plant,time,6-leaf-old
agedecade,time,"60-69, n/a, 70-79, 68, 78"
age at death (in years),time,"60, 53, 57, 62, 55"
age (yr-old),time,"60, 65, 74, 58, 67"
age of blood draw,time,"60, 66, 71, 63, 75"
age at time of resection,time,"60y 5m, 34y 2m, 59y 7m, 31y 3m, 57y 11m"
patient age,time,"61, 60, 57, 37, 54"
age at op,time,"61, 64, 63, 65, 67"
age(yrs),time,"62, 26.6, 30, 64, 72"
age quit smoking,time,"62, 40, 65, 56, 68"
age@dx,time,"62, 58, 44, 75, 65"
ageatdiagnosis,time,"63, 67, 59, 12, 52"
age_diag,time,"63, 78, 74, 66, 71"
ageofoperation,time,"64, 54, 60, 27, 48"
age of diagnosis,time,"65, 57, 49, 59, 46"
age [y],time,"65, 66, 61, 76, 70"
age (yrs) at dasatinib start,time,"65, 66, 63, 59, 39"
age.at.surgery,time,"65, 67, 69, 63, 70"
age at radiation,time,"66, 57, 47, 65, 54"
age_at_diagnosis,time,"66, 58, 62, 73, 64"
age at the time of surgery,time,"67, 76, 71, 72, 63"
age at time of surgery,time,"67, 76, 71, 72, 63"
age.year,time,"67.5, 75.3, 74.5, 71.3"
ctl bone age,time,"68 years sexfemale, 72 years sexfemale, 83 years sexfemale, 71 years sexmale"
age at onset,time,"68 years, 60 years, 48 years, 71 years, 62 years"
age-at-examination,time,"68, 47, 48, 54, 69"
age at primary diagnosis,time,"68, 54, 49, 58, 72"
age at metastases,time,"68, 61, 59, 76, 74"
age at diagnosis,time,"68, 61, 71, 73, 51"
age (yrs) at rrp,time,"68, 66, 67, 70, 71"
age_at_prostatectomy_(years),time,"68, 67, 64, 58, 59"
age at diagnosis (y),time,"68, 73, 64, 72, 82"
age_enroll,time,"68.4, 59.9, 69.9, 65.4, 66.3"
age (yrs),time,"69, 66, na, 67, 51, 50"
age (years at surgery),time,"69, 70, 56, 67, 59"
age (days),time,"69, 70, 56, 9, 74"
age diet commenced,time,7 weeks
age high salt diet commenced,time,7 weeks
age put on diet,time,7 weeks
age at irradiation,time,"7 weeks, 3 weeks, non-irradiated"
age at start,time,"7 weeks, 9 weeks, 10 weeks"
age (month) at surgery,time,"7, 8, 6, 3, 23"
age induced (days),time,"7, 8, 9, 5"
agegroupatsampledraw,time,"70 to 75, 55 to 60, 60 to 65, 65 to 70, over 75"
onset of age,time,"71, 65, 64, 76, 60"
age at operation (yrs),time,"71.1, 70.5, 69.8, 56, 68.1"
age seedlings,time,"72 hag, 78 hag, 74 hag"
age at presentation,time,"72, 50, 70, 69, 66"
baseline age (years),time,"72, 67, 57, 76, 50"
age (years),time,"74, 62, 76, 83, 45"
age [years / days],time,76 / 197
age at start therapy,time,"76, 54, 64, 80, 51"
age (yr),time,"76, 74, 75, 28, 77"
op bone age,time,"78 years sexfemale, 74 years sexfemale, 87 years sexfemale"
subject age (years),time,"78, 68, 73, 48, 80"
age at death (years),time,"78, 70, 69, 88, 81"
age at enrollment (years),time,"79, 83, 73, 71, 77"
age at baseline,time,"7m, 6.9m, 5m, 4m, 5.9m"
age,time,"8 weeks, approximately 14 days, 6 to 8 weeks, 6-8 weeks, adult"
age (y),time,"8 weeks, na, 48, 53, 49"
starting age,time,8-week old
patient age at diagnosis,time,"8-yrs, 8, 2-yrs, 9, 9-yrs"
age(weeks),time,"8, 32, 16, 72, 15"
age at infection (yrs),time,"8.1, 9.5, 6.1, 10.1, 12"
age (mos),time,"8.5, 10.5"
age at collection (months),time,"87, 71, 140, 97, 161"
age at death (y),time,"89, 80, 81, 87, 76"
age at sacrafice,time,92-114 weeks postinoculation
age(month),time,"96, 60, 48, 72, 13"
age at blood drawing (months),time,"96, 72, 36, 60, 84"
age of subjects,time,"about 60 years, about 25 years"
age description,time,"adult 8 weeks, immortal cells, embryonic day 0 (stem cell), embryonic day 14.5, embryonic day 11.5"
age/gender,time,"adult male, 77/m, 60/m, 54/f, 2-3 month old males"
agegroup,time,"adult, old, young, [53,58), [58,63]"
final age at death,time,approximately 18 weeks old
cycle phase/ gestational age,time,"cycling endometrium secretory phase, first trimester"
age/disease timepoint,time,"day 100, end-stage, day 65, day 130, day 150"
age of embryo,time,day 19
neuron age,time,day 5 in vitro
age of culture,time,"day 5, day 21, day 7"
age (after birth),time,"day6, day0, day24"
age of culture,time,"day7, day 7, day 5, day 6, day 2"
embryonic age,time,"e10.5, e14.5, 10 weeks"
age of source,time,e12.5
source age,time,"e13.5, e11.5, 8-week, e3.5, e12.5"
embryo age,time,"e14.5, tissue whole embryo excluding head and organs, week 11 of gestation, e17, 1 hour post fertilization, 7 hour post fertilization"
gestational age of pups,time,"e17.5, e14"
initial age (infection day),time,eight weeks old
tissue & age,time,"fiber 2 dpa, fiber 10 dpa, fiber 20 dpa, npcs of neocortex from 3 littermates wild-type mouse embryos at e14, npcs of neocortex from 3 littermates ts1cje mouse embryos at e14"
pig age,time,"gestation day 75, gestation day 90, 30 days"
age_at_onset,time,"gte6, lt6"
tissue age,time,"heads after mid-anthesis, five weeks after grafting seven day-old seedlings"
agenotype,time,"homozygous knockout (sirt1-/-), wild type (sirt1+/+), heterozygous knockout (sirt1+/-)"
agender,time,male
age of onset (years),time,"n/a, 25, 22, 14, 17"
age at first birth,time,"n/a, 26, 25, 28, 23"
maternal age,time,"n/a, 27 ,29, 24, 30"
treatment start age,time,"n/a, 44 days"
age at dx (years),time,"n/a, 5, 6.6, 6.4, 3.9"
mean age years (range),time,"n/a, 62.75 (56-68)"
age-at-onset,time,"n/a, 65, 45, 48"
age at diagnosis (years),time,"na, 12, 5, 3, 14"
age at incident,time,"na, 24, 17, 54, 15"
age (months),time,"na, 28, 12, 8, 11"
age (months),time,"na, 28, 12, 8, 11"
ageyear,time,"na, 49, 48, 46, 42"
ageatsampling,time,"na, 66, 42, 38, 62"
age.at.diagnosis,time,"na, 68, 70, 78, 73"
age of biopsy,time,"na, 73 days, 75 days, 54 days, 3 years"
age at operation,time,"na, 74 years, 70 years, 28, 64"
age.brain,time,"na, 80, 90, 86, 88"
age.blood,time,"na, 89, 80, 79, 82"
age at blood draw,time,"not available, 58, 61, 68, 59"
sample age,time,"null, 7.416666667, 12.16666667, 7.916666667, 9.833333333"
age category,time,"old, young, adult"
developmental age,time,"p1, 120 days of fetal age, 1 day of life, 130 days of fetal age, 145 days of fetal age"
development age,time,"p30.5, e18.5"
age (pn postnatal days),time,"pn14, pn1, pn7"
age (at weaning),time,pnd 22
age sacrificed,time,pnd 8
age (pup),time,pnd70
age unit,time,"week, day"
ageunit,time,"week, day, weeks"
units of age,time,"weeks, pnd, days, weeks at start of exposure, years"
age (mouse),time,"xenograft cells injected at 6-10 weeks, 4 months"
age group,time,"young, adult, old, nonagenarian, ped"
age_group,time,"young, aged"
sample age group,time,"young, middle-age, old"
age ___ 65,time,
age 4-7 years,time,
age at blood withdrawal,time,
age at dx in days,time,
age(years)/gender,time,
age/sex,time,
control case age,time,
ma1 age,time,
ma2 age,time,
ma3 age,time,
ma4 age,time,
ma5 age,time,
ma6 age,time,
mc1 age,time,
mc2 age,time,
mc3 age,time,
mc4 age,time,
mc5 age,time,
mc6 age,time,
medicago (truncatula) - age,time,
not current age,time,
incubation time (hours),time,0
time in meiosis (hr),time,0
time under flooding (h),time,0
time_to_relapse (years),time,1.3
time pi (weeks),time,3
time to recurrence (years),time,15.75
induction time (h),time,24
time to hcc recurrence (days),time,1097
collection time,time,"less than 72 hour after symptoms, 3 to 7 dys after symptoms, 2 to 5 weeks after symptoms, 0 hr, 24 hr"
time.to.recurrence (years),time,"., 2.16, 0.83, 2.08, 1.82"
pfs time,time,"., 288, 178, 388, 104"
time.to.ok,time,"., 4.99, 5.3, 5.16, 5.07"
treatment time (rhgaa),time,"""--"", 00 weeks, 12 weeks, 52 weeks"
evolution time (years),time,"""--"", 7, 13, 3, 8"
time until recurrence (years),time,"""-"", 2.4"
dsn time,time,"""-"", 5h"
time (weeks of treatment),time,"""-4"", 11, 27, 23, 17"
timepoint (wks),time,"""-5"", 12, 4"
time quit (@ initial consult),time,">10yrs, 6-10yrs, 0, 1-6mos, unk"
tissue collection time,time,"0 h (control), 6 h post pgf2ï± administration, 18 h post pgf2ï± administration, 3 h post pgf2ï± administration"
time before sampling,time,"0 h, 24 h, 72 h"
time of exercise,time,"0 hour (pre), 6 hour, 24 hour, 3 hour"
time post-perforation,time,"0 hours, 12 hours, 144 hours, 36 hours, 24 hours"
post serum time point,time,"0 hours, 6 hours"
time differentiated,time,"0 hr, 24 hr, 72 hr"
time in fr light,time,"0 hr, 3 hr, 1 hr, 24 hr"
hcg treatment time,time,"0 hr, 3 hr, 14 hr, 9 hr"
time in constant white light,time,"0 hrs, 8 hrs, 32 hrs, 4 hrs, 12 hrs"
time(absolute),time,"0 months, 1 months"
post-exposure time,time,0 weeks
time_to_metastasis (years),time,"0, 1.6, 2.1, 2.4, 1.7"
zt time,time,"0, 12, 18, 6, 3"
time (minutes),time,"0, 12, 6, 15, 20"
time (days post-infection),time,"0, 2"
timepoint (weeks),time,"0, 2"
induction time (hours),time,"0, 24"
time after injury (hours),time,"0, 288, 528, 3, 6"
time (d),time,"0, 3, 10, 1, 7"
time in spo (hours),time,"2000, 3, 5"
time (h),time,"0, 4, 6, 24, 8"
time point (hours),time,"0, 72, 2, 4, 12"
time post surgery,time,"0, 8 weeks, 2 weeks, 4 weeks, 12h"
dfs time (months),time,"0, 8.51, 54.7, 20.7, 91.93"
time since sample1 months,time,"0, 9.93, 21.41, 19.21, 35.74"
time period of attachment,time,"0.25 h, 1 h, logarithmic aerobic growing cells"
time pre_post surgery (years),time,"0.28, 0.15, 0.53, 0.25, 0.14"
time after injury,time,"0.5 h, 72 h, 7 d, 24 h, 28 d"
time (hours after pollination),time,"0.5, 8, 3.5"
post-infection time points,time,"0.5hpi, 16hpi, 18hpi, 1hpi, 2hpi"
rna degradation time,time,"000 h, 315 h, 145 h, 230 h"
time post-stimulation,time,"008hr, 024hr, 072hr, 000min, 720min"
extraction time,time,"0h after bru labeling, 6h after bru labeling"
time (post amputation),time,"0h, 12h, 48h, 24h"
time after induction,time,"0h, 24 hours, 1 days, 5 days, 0 days"
